antigenicity_score,antigen_prediction
0.0083,Probable Non-Antigen
-0.2665,Probable Non-Antigen
-0.7278,Probable Non-Antigen
0.0807,Probable Non-Antigen
0.8959,Probable Antigen
1.2142,Probable Antigen
0.6604,Probable Antigen
0.7146,Probable Antigen
0.7031,Probable Antigen
0.8239,Probable Antigen
-0.1511,Probable Non-Antigen
0.4727,Probable Non-Antigen
0.8409,Probable Antigen
0.8669,Probable Antigen
-0.0002,Probable Non-Antigen
0.307,Probable Non-Antigen
0.532,Probable Antigen
-0.1378,Probable Non-Antigen
0.7535,Probable Antigen
-0.0681,Probable Non-Antigen
0.1808,Probable Non-Antigen
1.6451,Probable Antigen
1.0956,Probable Antigen
0.9862,Probable Antigen
1.0786,Probable Antigen
0.746,Probable Antigen
0.8883,Probable Antigen
0.7253,Probable Antigen
0.7052,Probable Antigen
-0.01,Probable Non-Antigen
0.0646,Probable Non-Antigen
-0.0158,Probable Non-Antigen
0.2628,Probable Non-Antigen
0.3934,Probable Non-Antigen
1.4278,Probable Antigen
0.882,Probable Antigen
0.3217,Probable Non-Antigen
1.0178,Probable Antigen
2.0139,Probable Antigen
0.5615,Probable Antigen
0.6567,Probable Antigen
1.9347,Probable Antigen
0.3109,Probable Non-Antigen
0.4192,Probable Non-Antigen
0.7148,Probable Antigen
1.0656,Probable Antigen
0.441,Probable Non-Antigen
1.6639,Probable Antigen
0.7455,Probable Antigen
0.1019,Probable Non-Antigen
0.3368,Probable Non-Antigen
-0.9596,Probable Non-Antigen
-0.2866,Probable Non-Antigen
0.5252,Probable Antigen
0.8325,Probable Antigen
1.1148,Probable Antigen
0.439,Probable Non-Antigen
0.949,Probable Antigen
0.5235,Probable Antigen
-0.3185,Probable Non-Antigen
-0.6913,Probable Non-Antigen
0.5338,Probable Antigen
1.4322,Probable Antigen
0.5648,Probable Antigen
0.2503,Probable Non-Antigen
1.7148,Probable Antigen
1.9688,Probable Antigen
0.4173,Probable Non-Antigen
1.5063,Probable Antigen
1.88,Probable Antigen
0.5593,Probable Antigen
0.228,Probable Non-Antigen
1.3027,Probable Antigen
0.2798,Probable Non-Antigen
0.8861,Probable Antigen
0.8267,Probable Antigen
0.4723,Probable Non-Antigen
-0.2887,Probable Non-Antigen
0.0009,Probable Non-Antigen
0.3283,Probable Non-Antigen
0.8139,Probable Antigen
1.1167,Probable Antigen
-0.4147,Probable Non-Antigen
-0.1674,Probable Non-Antigen
1.1027,Probable Antigen
1.783,Probable Antigen
-0.091,Probable Non-Antigen
0.7889,Probable Antigen
1.3011,Probable Antigen
1.3352,Probable Antigen
-0.0722,Probable Non-Antigen
0.588,Probable Antigen
0.2798,Probable Non-Antigen
